Date,Open,High,Low,Close,Adj Close,Volume
2009-05-15,8268.6396484375,8268.6396484375,8268.6396484375,8268.6396484375,8268.6396484375,0
2009-05-18,8504.080078125,8504.080078125,8504.080078125,8504.080078125,8504.080078125,0
2009-05-19,8474.849609375,8474.849609375,8474.849609375,8474.849609375,8474.849609375,0
2009-05-20,8422.0400390625,8422.0400390625,8422.0400390625,8422.0400390625,8422.0400390625,0
2009-05-21,8292.1298828125,8292.1298828125,8292.1298828125,8292.1298828125,8292.1298828125,0
2009-05-22,8277.3203125,8277.3203125,8277.3203125,8277.3203125,8277.3203125,0
2009-05-26,8473.490234375,8473.490234375,8473.490234375,8473.490234375,8473.490234375,0
2009-05-27,8300.01953125,8300.01953125,8300.01953125,8300.01953125,8300.01953125,0
2009-05-28,8403.7998046875,8403.7998046875,8403.7998046875,8403.7998046875,8403.7998046875,0
2009-05-29,8500.330078125,8500.330078125,8500.330078125,8500.330078125,8500.330078125,0
2009-06-01,8721.4404296875,8721.4404296875,8721.4404296875,8721.4404296875,8721.4404296875,0
2009-06-02,8740.8701171875,8740.8701171875,8740.8701171875,8740.8701171875,8740.8701171875,0
2009-06-03,8675.2802734375,8675.2802734375,8675.2802734375,8675.2802734375,8675.2802734375,0
2009-06-04,8750.240234375,8750.240234375,8750.240234375,8750.240234375,8750.240234375,0
2009-06-05,8763.1298828125,8763.1298828125,8763.1298828125,8763.1298828125,8763.1298828125,0
2009-06-08,8764.490234375,8764.490234375,8764.490234375,8764.490234375,8764.490234375,0
2009-06-09,8763.0595703125,8763.0595703125,8763.0595703125,8763.0595703125,8763.0595703125,0
2009-06-10,8739.01953125,8739.01953125,8739.01953125,8739.01953125,8739.01953125,0
2009-06-11,8770.919921875,8770.919921875,8770.919921875,8770.919921875,8770.919921875,0
2009-06-12,8799.259765625,8799.259765625,8799.259765625,8799.259765625,8799.259765625,0
2009-06-15,8612.1298828125,8612.1298828125,8612.1298828125,8612.1298828125,8612.1298828125,0
2009-06-16,8504.669921875,8504.669921875,8504.669921875,8504.669921875,8504.669921875,0
2009-06-17,8497.1796875,8497.1796875,8497.1796875,8497.1796875,8497.1796875,0
2009-06-18,8555.599609375,8555.599609375,8555.599609375,8555.599609375,8555.599609375,0
2009-06-19,8539.73046875,8539.73046875,8539.73046875,8539.73046875,8539.73046875,0
2009-06-22,8339.009765625,8339.009765625,8339.009765625,8339.009765625,8339.009765625,0
2009-06-23,8322.91015625,8322.91015625,8322.91015625,8322.91015625,8322.91015625,0
2009-06-24,8299.8603515625,8299.8603515625,8299.8603515625,8299.8603515625,8299.8603515625,0
2009-06-25,8472.400390625,8472.400390625,8472.400390625,8472.400390625,8472.400390625,0
